nome_do_nomeado,secretaria,tipo_de_secretaria,data_nomeacao,ministro_nomeacao,partido_ministro,sexo,governo_nom,partido_nom,part_presidente_camara_momento_nomeacao,filiacao_partidaria,partido,uf_partido,circulacao_organizacional_externa_patronal_sindical_ou_organismo,organizacao,permanencia_cargo,autonomia,nivel_escolaridade,graduacao_curso,graduacao_sociais_aplicadas_agrarias_outras,emprego_cargo_instituicao_trajet_pre_resumido2,emprego_cargo_instituicao_trajet_pos_resumido2
José Gerardo Fontelles,Secretaria de Produção e Agroenergia / Comercialização,execucao_de_pol_pub,9/2/2012,Mendes Ribeiro Filho,PMDB,M,Dilma1,PT,PT,nao,sem_partido,,nao,,14.25,nao,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_insider,Burocrata_outsider
Cleide Edvirges Santos Laia,Secretaria de Produção e Agroenergia / Comercialização,execucao_de_pol_pub,11/4/2014,Neri Geller,PPB_PP,F,Dilma1,PT,PMDB,nao,sem_partido,,nao,,10.7,nao,mestrado_ou_doutorado,Servico_Social,outras,Burocrata_insider,Burocrata_insider
Maria Emilia Mendonça Pedroza Jaber,Secretaria Executiva,planejamento_estrategico,16/1/2015,Kátia Abreu,PMDB,F,Dilma2,PT,PMDB,nao,sem_partido,,nao,,16.32,nao,graduacao_ou_especializacao,Artes Visuais,outras,Burocrata_outsider,Burocrata_outsider
Rinaldo Junqueira de Barros,Secretaria de Desenvolvimento Rural / Agropecuário e cooperativismo / Apoio Rural e Cooperativismo,execucao_de_pol_pub,3/4/2002,Marcus Vinícius Pratini de Moraes,PPB_PP,M,FHC2,PSDB,PSDB,nao,sem_partido,,nao,,08.88,nao,graduacao_ou_especializacao,Engenharia_de_Alimentos,outras,Burocrata_insider,Burocrata_outsider
Ailton Barcelos Fernandes,Secretaria Executiva,planejamento_estrategico,3/1/1995,José Eduardo de Andrade Vieira,PTB,M,FHC1,PSDB,PFL_DEM,sim,PSDB,SP,nao,,52.16,sim,graduacao_ou_especializacao,Psicologia,outras,Mercado,Mercado
Manoel Valdemiro Francalino da Rocha,Secretaria de Desenvolvimento Rural / Agropecuário e cooperativismo / Apoio Rural e Cooperativismo,execucao_de_pol_pub,22/1/2003,Roberto Rodrigues,sem_partido,M,Lula1,PT,PFL_DEM,sim,PT,AC,nao,,23.43,nao,mestrado_ou_doutorado,Tecnologia_de_Construcao_Civil,outras,Mercado,Mercado
Gabriel Alvez Maciel,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,01/05/2005,Roberto Rodrigues,sem_partido,M,Lula1,PT,PPB_PP,nao,sem_partido,,nao,,23.76,sim,ensino_medio,,sem_formacao_superior,Burocrata_outsider,Burocrata_outsider
Guilherme Leite da Silva Dias,Secretaria de Política Agrícola,planejamento_estrategico,31/1/1995,José Eduardo de Andrade Vieira,PTB,M,FHC1,PSDB,PFL_DEM,nao,sem_partido,,nao,,28.16,sim,mestrado_ou_doutorado,Economia,sociais_aplicadas,Academia,Academia
Benedito Rosa do Espírito Santo ,Secretaria de Política Agrícola,planejamento_estrategico,4/6/1997,Arlindo Porto,PTB,M,FHC1,PSDB,PMDB,nao,sem_partido,,nao,,23.13,sim,mestrado_ou_doutorado,Administracao,sociais_aplicadas,Burocrata_insider,Burocrata_insider
José Carlos Vaz,Secretaria Executiva,planejamento_estrategico,1/9/2011,Mendes Ribeiro Filho,PMDB,M,Dilma1,PT,PT,nao,sem_partido,,nao,,19.16,nao,mestrado_ou_doutorado,Direito,sociais_aplicadas,Burocrata_insider,Burocrata_insider
