UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Transferencia_percapita,Vl_Liberado
AP,MACAPA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,0.25050028485461,175000
PE,RECIFE,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PSB,0.0188623786839169,175000
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2016,José Eduardo Cardozo,PT,PT,0.217818504492149,175020
DF,BRASILIA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,0.0661415418050452,175177.99
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,Afonso Florense,PT,PT,0.0163344597899703,175314
PB,JOAO PESSOA,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSB,0.04629141169023,175500
CE,FORTALEZA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSB,0.0204508363636786,176000
MA,SAO LUIS,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PMDB,0.026220401667244,176052.01
SP,SAO JOSE DO RIO PRETO,MINISTERIO DA EDUCACAO,2014,Aloizio Mercadante,PT,PSDB,0.00400991895048573,176578
CE,FORTALEZA,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PT,0.0198727761001539,176956.32
RJ,RIO DE JANEIRO,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PMDB,0.011058835778753,179500
SP,CAMPINAS,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSDB,0.00407968115764569,179650
PI,TERESINA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PT,0.0571831209811387,179859.5
MA,SAO LUIS,MINISTERIO DA EDUCACAO,2008,Fernando Haddad,PT,PDT,0.0285463304564447,180000
CE,FORTALEZA,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PSB,0.0211018494833212,180000
GO,GOIANIA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PP,0.0303730826991546,180000
MA,SAO LUIS,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PDT,0.028270158429109,180000
PE,RECIFE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,Márcia Lopes,PT,PSB,0.0204637727557153,180000
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,Guilherme Cassel ,PT,PP,0.0301726136296447,181157.73
ES,VITORIA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,0.0506835590278214,181349.17
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PT,0.243845252051583,182000
BA,SALVADOR,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PT,0.0120408920288944,182135
PB,JOAO PESSOA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,Tereza Campello,PT,PSB,0.0478353394906808,182500
BA,FEIRA DE SANTANA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,0.0128912948196449,182738.5
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,Guilherme Cassel ,PT,PT,0.0245995839063816,182800
