UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Vl_Liberado
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,sim,541680.08
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,sim,541680.08
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,sim,838220.33
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,183416
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,sim,sim,3159153.12
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,2504355.2
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,sim,sim,7277734.43
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,sim,sim,3474703.92
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,sim,sim,7270033.58
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,296642.34
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2011,sim,sim,4616000
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2011,sim,sim,18058551.11
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,14612108.69
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2011,sim,sim,720000
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,2386538.19
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2011,sim,sim,19299805.7
BA,VITORIA DA CONQUISTA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2011,sim,sim,297616.44
BA,VITORIA DA CONQUISTA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2011,sim,sim,297616.44
BA,VITORIA DA CONQUISTA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2011,sim,sim,926278.6
BA,FEIRA DE SANTANA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2011,sim,sim,1227282.53
PR,CURITIBA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,sim,559556.28
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,sim,838220.34
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,sim,838220.34
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,sim,838220.34
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,125000
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,sim,sim,2386712.4
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,sim,13100873.81
RJ,RIO DE JANEIRO,MINISTERIO DA SAUDE,2009,sim,sim,10450000
RJ,RIO DE JANEIRO,MINISTERIO DA SAUDE,2010,sim,sim,525000
MG,BELO HORIZONTE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,nao,sim,11385455
SP,SAO PAULO,MINISTERIO DO TURISMO,2009,nao,sim,290000
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,sim,196911
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,sim,3124918
SP,SAO PAULO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,nao,sim,7632699.9
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,514198.54
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,274319
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,1000000
SP,GUARULHOS,MINISTERIO DA SAUDE,2011,nao,sim,2640000
SP,SAO PAULO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2011,nao,sim,8240000
SP,SAO PAULO,MINISTERIO DA JUSTICA,2011,nao,sim,257308.56
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,276000
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,248400
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,nao,sim,205000
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,299015.82
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,nao,sim,882548.27
SP,BOTUCATU,MINISTERIO DA SAUDE,2011,nao,sim,376774
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,nao,sim,99366.06
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,nao,sim,139550
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,875000
SP,BOTUCATU,MINISTERIO DA SAUDE,2011,nao,sim,333157.75
SP,MARILIA,MINISTERIO DA SAUDE,2011,nao,sim,148763.37
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,nao,sim,2466066.66
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,nao,sim,820000
BA,SALVADOR,MINISTERIO DAS CIDADES,2011,nao,sim,150000
SP,MARILIA,MINISTERIO DA SAUDE,2011,nao,sim,133548.14
DF,BRASILIA,MINISTERIO DO MEIO AMBIENTE,2012,nao,sim,2231251.03
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,nao,sim,1075321.7
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,2562100
BA,SALVADOR,MINISTERIO DAS CIDADES,2011,nao,sim,17578.76
RJ,RIO DE JANEIRO,MINISTERIO DA CULTURA,2011,nao,sim,15415896.7
BA,SALVADOR,MINISTERIO DAS CIDADES,2011,nao,sim,885215.61
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,nao,sim,809804
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,nao,sim,3003800
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,nao,sim,700000
SP,MARILIA,MINISTERIO DA SAUDE,2011,nao,sim,313885.32
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,nao,sim,5815955
RJ,RIO DE JANEIRO,MINISTERIO DA CULTURA,2012,nao,sim,1597782.52
RJ,RIO DE JANEIRO,MINISTERIO DA CULTURA,2012,nao,sim,110000
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,nao,sim,251894.86
SP,CAMPINAS,MINISTERIO DA EDUCACAO,2012,nao,sim,241326.61
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,nao,sim,280334.98
RJ,RIO DE JANEIRO,MINISTERIO DA CULTURA,2012,nao,sim,8686212.8
RJ,RIO DE JANEIRO,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2012,nao,sim,9285582.56
