UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Governo_Base_Aliada,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Transferencia_percapita,Vl_Liberado
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,Antônio Andrade,PMDB,PSB,sim,nao,nao,0.0648557600395482,249005
MA,SAO LUIS,MINISTERIO DOS DIREITOS HUMANOS,2010,Paulo Vannuchi,PT,PDT,sim,nao,nao,0.0378989808184048,248984.29
DF,BRASILIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,Mendes Ribeiro Filho,PMDB,PT,sim,nao,nao,0.0939453251839132,248817.2
DF,BRASILIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,Mendes Ribeiro Filho,PMDB,PT,sim,nao,nao,0.0939453251839132,248817.2
RN,NATAL,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PSD,sim,nao,nao,0.0722746519279235,248782
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.00597303592680117,248400
RO,PORTO VELHO,MINISTERIO DA EDUCACAO,2015,Renato Janine Ribeiro,PT,PMDB,sim,nao,nao,0.140440673135,248327.76
RN,NATAL,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PSB,sim,nao,nao,0.079137856684582,248298.27
MS,CAMPO GRANDE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PMDB,sim,sim,nao,0.105062575778501,248000
BA,SALVADOR,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PT,sim,nao,nao,0.0175686216676587,247670.71
MT,CUIABA,MINISTERIO DO TURISMO,2015,Henrique Eduardo Alves,PMDB,PDT,sim,nao,nao,0.0757926997696514,247500
BA,SALVADOR,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,sim,nao,nao,0.0169087822096929,247500
BA,ILHEUS,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0164371209860692,247282.3
AM,MANAUS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.0728064705017344,247059.22
PB,JOAO PESSOA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.064741527968209,247000
SE,ARACAJU,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.109982291076388,246683.35
TO,PALMAS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.190769040850555,246483.33
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSDB,nao,nao,sim,0.005874390432412,246144.12
PE,RECIFE,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PSB,sim,nao,nao,0.0267120589017815,245979.33
AC,RIO BRANCO,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PT,sim,nao,nao,0.360990658355794,245500
AP,MACAPA,MINISTERIO DA EDUCACAO,2010,Fernando Haddad,PT,PDT,sim,nao,nao,0.366526935541036,245092.53
PE,RECIFE,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSB,sim,nao,nao,0.0276373879938449,245000
