UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Governo_Base_Aliada,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Transferencia_percapita,Vl_Liberado
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0363585237594004,590148.47
RJ,RIO DE JANEIRO,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PMDB,sim,nao,nao,0.0366172216254856,590000
PR,CURITIBA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.0552111513050372,590000
SE,ARACAJU,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PT,sim,sim,nao,0.279318877030149,589605
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.37068507702148,589393.35
MS,CAMPO GRANDE,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PMDB,sim,nao,nao,0.227630022235801,588940.1
SE,ARACAJU,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PT,sim,sim,nao,0.265272975805267,588793
ES,VITORIA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.164465427841346,588468.32
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PT,sim,sim,nao,0.0388935535165705,588318.32
AP,MACAPA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.782981228159891,587950
PE,OLINDA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PSB,sim,nao,nao,0.0667211997018021,587830.85
BA,FEIRA DE SANTANA,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0390464717251644,587420.47
SP,MARILIA,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.0141064905740011,586645.1
AP,MACAPA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Celso Pansera,PMDB,PDT,sim,nao,nao,0.765118126360576,586600
AC,RIO BRANCO,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PT,sim,sim,nao,0.772751276380956,586352.85
RJ,RIO DE JANEIRO,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PMDB,sim,sim,nao,0.0361068092547977,586062.8
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PSB,sim,nao,nao,0.0636224269836185,585870.3
BA,SALVADOR,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.0412880600191558,585272.33
BA,SALVADOR,MINISTERIO DA EDUCACAO,2015,Renato Janine Ribeiro,PT,PT,sim,sim,nao,0.0381494072520967,580021.07
AP,MACAPA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.829833252696099,579723.17
MS,CAMPO GRANDE,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PMDB,sim,nao,nao,0.245590549112941,579716
RO,PORTO VELHO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,Mendes Ribeiro Filho,PMDB,PMDB,sim,sim,nao,0.364462887363672,579500
CE,FORTALEZA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PSB,sim,nao,nao,0.0685728833441544,579307.49
BA,SALVADOR,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PT,sim,sim,nao,0.0410797560077498,579115
AP,MACAPA,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PSB,sim,nao,nao,0.828722749147583,578947.37
RS,PORTO ALEGRE,"MINISTERIO DO PLANEJAMENTO, DESENVOLVIMENTO E GESTAO",2013,Miriam Belchior,PT,PT,sim,sim,nao,0.0517733584508766,578000
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2014,PT,Ideli Salvatti,PT,sim,nao,nao,0.731273596666755,577780
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0513509279717268,577593.8
PI,TERESINA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,sim,nao,nao,0.18029760373216,576000
CE,FORTALEZA,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PSB,sim,nao,nao,0.0671944141528698,573172.25
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.221428452163266,572894.97
AP,MACAPA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PDT,sim,nao,nao,0.912849959065382,572000
AP,MACAPA,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PSB,sim,nao,nao,0.818281367645669,571653
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2016,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0344592769170607,570301.86
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PSDB,nao,nao,sim,0.0130596340861781,570231.54
BA,SALVADOR,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PT,sim,sim,nao,0.0389277741538709,569800
CE,FORTALEZA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.066125232323244,569074.08
PE,RECIFE,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.0616967101226577,568137.24
AP,MACAPA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PDT,sim,nao,nao,0.905544286788093,567422.2
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2008,Paulo Vannuchi,PT,PT,sim,sim,nao,0.833734025611956,567000
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PSB,sim,nao,nao,0.0615253954205602,566559.68
MA,SAO LUIS,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,Márcia Lopes,PT,PDT,sim,nao,nao,0.0862229623560224,566457.53
BA,FEIRA DE SANTANA,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0376420668064908,566292.41
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.758344585496567,566009.44
MT,CUIABA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PMDB,sim,sim,nao,0.18401345704066,566000
RS,PORTO ALEGRE,MINISTERIO DO MEIO AMBIENTE,2012,Izabella Teixeira,sem_partido,PT,sim,nao,nao,0.0524595122482929,565020.58
CE,FORTALEZA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.0638649143692303,564744.09
MA,SAO LUIS,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.0830425381507237,564216
MT,CUIABA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2014,Tereza Campello,PT,PMDB,sim,nao,nao,0.174951678737807,564106.67
CE,FORTALEZA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,Tereza Campello,PT,PSB,sim,nao,nao,0.0655311401747965,563961.32
AP,MACAPA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PDT,sim,nao,nao,0.842925979042574,563655.33
SE,ARACAJU,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.253712509697807,563133.69
MA,SAO LUIS,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,Tereza Campello,PT,PMDB,sim,nao,nao,0.083836889367998,562907.2
BA,SALVADOR,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PT,sim,sim,nao,0.039629759876676,561765.36
AP,MACAPA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PDT,sim,nao,nao,0.893699260623451,560000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2008,Patrus Ananias,PT,PT,sim,sim,nao,0.0385530845384354,559119
PB,JOAO PESSOA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.14614574287758,557571
CE,FORTALEZA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.0647856839497537,557545.92
AC,RIO BRANCO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,Sérgio Machado Rezende,PSB,PT,sim,nao,nao,0.81902107567864,556994.12
MA,SAO LUIS,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PMDB,sim,nao,nao,0.0838057380262171,556944.86
AP,MACAPA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2014,Clelio Campolina Diniz,sem_partido,PSB,sim,nao,nao,0.741631509417881,556900
AM,MANAUS,MINISTERIO DA DEFESA,2010,Nelson Jobim,PMDB,PMDB,sim,sim,nao,0.159727107959725,556000
AM,MANAUS,MINISTERIO DA DEFESA,2010,Nelson Jobim,PMDB,PMDB,sim,sim,nao,0.159727107959725,556000
AC,RIO BRANCO,MINISTERIO DA DEFESA,2010,Nelson Jobim,PMDB,PT,sim,nao,nao,0.758740872251782,556000
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.0127277439740577,555740
AP,MACAPA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PDT,sim,nao,nao,0.831021581033933,555694.99
PI,TERESINA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.175781175848249,555600
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2008,Franklin Martins,sem_partido,PT,sim,nao,nao,0.816906420340169,555556
AP,MACAPA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,Sérgio Machado Rezende,PSB,PDT,sim,nao,nao,0.9060381888043,555550
AM,MANAUS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.163688343354348,555454.95
MS,CAMPO GRANDE,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PMDB,sim,sim,nao,0.221552672001942,555008.94
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,Guilherme Cassel ,PT,PT,sim,sim,nao,0.0379166631368872,555000
PB,CAMPINA GRANDE,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PSB,sim,nao,nao,0.141774990477519,554967
GO,GOIANIA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PP,sim,nao,nao,0.0935412753319947,554353.66
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.226310668869708,554312
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0368249770658164,554000
AC,RIO BRANCO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PT,sim,sim,nao,0.6894723545232,554000
PA,BELEM,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,sim,sim,nao,0.0744850639616096,553500
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSDB,nao,nao,sim,0.013209567482989,553496.98
MA,SAO LUIS,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0822223759567992,552066.85
BA,SALVADOR,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PT,sim,sim,nao,0.0364925599140732,552000
MG,BELO HORIZONTE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,Antônio Andrade,PMDB,PSDB,nao,nao,sim,0.0268017519825326,551938.02
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSDB,nao,nao,sim,0.0131608486139747,551455.6
MA,SAO LUIS,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.0820519162493741,550922.33
PE,RECIFE,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PSB,sim,nao,nao,0.0597271014437669,550000
SE,ARACAJU,MINISTERIO DO MEIO AMBIENTE,2011,Izabella Teixeira,sem_partido,PT,sim,nao,nao,0.263185220666452,550000
AP,MACAPA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.732442683030768,550000
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.0492653064843982,550000
CE,FORTALEZA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2012,Marco Antonio Raupp,sem_partido,PSB,sim,nao,nao,0.0639088636364957,550000
CE,FORTALEZA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2013,Marco Antonio Raupp,sem_partido,PSB,sim,nao,nao,0.0626525304331819,550000
AP,MACAPA,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PDT,sim,nao,nao,0.877740345255175,550000
CE,FORTALEZA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PSB,sim,nao,nao,0.0643344300276246,549918.42
AP,MACAPA,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.747895226640689,549700
SC,FLORIANOPOLIS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,Kátia Abreu,PMDB,PSD,sim,nao,nao,0.0805603011501366,549356
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PT,sim,sim,nao,0.17447481579805,548780
AP,MACAPA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,sim,nao,nao,0.729579497997102,547850
PE,RECIFE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2011,Afonso Florense,PT,PSB,sim,nao,nao,0.0617949434409315,547800
PA,BELEM,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PT,sim,sim,nao,0.0737138589318828,547769.16
CE,FORTALEZA,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PSB,sim,nao,nao,0.0623058181645861,546956.36
MG,MONTES CLAROS,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0262033635277341,546840.64
SE,ARACAJU,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PT,sim,sim,nao,0.258718337062449,546120
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,sim,nao,nao,0.03851759192248,546000
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.139436923110723,545814.82
CE,FORTALEZA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PSB,sim,nao,nao,0.0646075339234889,545808
PB,JOAO PESSOA,MINISTERIO DO MEIO AMBIENTE,2012,Izabella Teixeira,sem_partido,PSB,sim,nao,nao,0.143021112290904,545650
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2008,Paulo Vannuchi,PT,PSB,sim,nao,nao,0.0624504104213852,545454
MA,SAO LUIS,MINISTERIO DA CULTURA,2011,Ana de Hollanda,sem_partido,PMDB,sim,nao,nao,0.0819700511536468,544745.5
MA,SAO LUIS,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PCdoB,sim,nao,nao,0.0788396277012926,544327.79
DF,BRASILIA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.190288040970813,542772.28
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PT,sim,nao,nao,0.0730047826543328,542500
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PT,sim,nao,nao,0.0730047826543328,542500
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PT,sim,nao,nao,0.0730047826543328,542500
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.22145091679762,542408.81
PE,RECIFE,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.0606873027382738,542000
MA,SAO LUIS,MINISTERIO DO TURISMO,2010,Luiz Barretto Filho,PT,PDT,sim,nao,nao,0.0825001754270335,542000
SE,ARACAJU,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PT,sim,sim,nao,0.256671784626886,541800
PE,RECIFE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,Antônio Andrade,PMDB,PSB,sim,nao,nao,0.0588221815595289,541667
PI,TERESINA,MINISTERIO DO TURISMO,2010,Luiz Barretto Filho,PT,PT,sim,sim,nao,0.173665936201012,541666.66
CE,FORTALEZA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,Patrus Ananias,PT,PSB,sim,nao,nao,0.0633105512769413,541166.5
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PT,sim,sim,nao,0.724674459889466,540878.9
CE,FORTALEZA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2012,Brizola Neto,PDT,PSB,sim,nao,nao,0.0628242198325472,540665.55
PB,JOAO PESSOA,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PSB,sim,nao,nao,0.14148739335668,539798.6
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.0482899429892916,539111
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PT,sim,nao,nao,0.0384322870873674,538875.7
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PT,sim,nao,nao,0.0384322870873674,538875.7
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PT,sim,nao,nao,0.0384322870873674,538875.7
PI,TERESINA,MINISTERIO DO TURISMO,2010,Luiz Barretto Filho,PT,PT,sim,sim,nao,0.172352216965933,537569.15
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PT,sim,nao,nao,0.732995566278608,537134.02
GO,GOIANIA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PP,sim,nao,nao,0.0903219816749068,535275.16
AC,RIO BRANCO,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PT,sim,sim,nao,0.705375692224158,535229.2
DF,BRASILIA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.187626606908215,535180.88
BA,SALVADOR,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PT,sim,sim,nao,0.0377341694989912,534894.72
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,Antônio Andrade,PMDB,PSB,sim,nao,nao,0.139264092040196,534685.82
PB,JOAO PESSOA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.139708023572207,533010
PE,RECIFE,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PSB,sim,nao,nao,0.060079615982442,532593.96
MT,CUIABA,MINISTERIO DAS CIDADES,2011,Mário Negromonte,PP,PMDB,sim,nao,nao,0.173068502423061,532334.83
PE,RECIFE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,Guilherme Cassel ,PT,PSB,sim,nao,nao,0.0604741376566161,531932.45
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,Guilherme Cassel ,PT,PSB,sim,nao,nao,0.0604127793077606,531392.74
PE,RECIFE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,sim,nao,nao,0.0576900152575596,531241.39
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PMDB,sim,sim,nao,0.0508032826158778,530366
MT,CUIABA,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.166214125645444,528912.13
AP,MACAPA,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PSB,sim,nao,nao,0.718945409226717,528422
MA,SAO LUIS,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PCdoB,sim,nao,nao,0.0763845902829869,527377.62
PE,OLINDA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PSB,sim,nao,nao,0.0594882672519626,527351.77
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.301500516719463,527183
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.678847543282809,527100
AP,MACAPA,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PSB,sim,nao,nao,0.754363714962167,527000
MA,SAO LUIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PCdoB,sim,nao,nao,0.0762574771071867,526500
DF,BRASILIA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,Tereza Campello,PT,PT,sim,sim,nao,0.198789367090902,526500
AC,RIO BRANCO,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PT,sim,sim,nao,0.693722248433682,526386.73
RO,PORTO VELHO,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PMDB,sim,nao,nao,0.331026508621638,526335.79
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0317399310115804,525296.62
RN,NATAL,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PSB,sim,nao,nao,0.167389366385969,525191
RO,PORTO VELHO,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PMDB,sim,nao,nao,0.33018639493689,525000
AC,RIO BRANCO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,Mendes Ribeiro Filho,PMDB,PT,sim,nao,nao,0.703225844917099,524870.19
MS,CAMPO GRANDE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,Sérgio Machado Rezende,PSB,PMDB,sim,nao,nao,0.224402848730639,524218.07
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2009,Fernando Haddad,PT,PSDB,nao,nao,sim,0.0126623104622533,524017.55
DF,BRASILIA,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.187192458422066,522222.22
BA,SALVADOR,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,Mendes Ribeiro Filho,PMDB,PT,sim,nao,nao,0.0370328572078137,522064.52
SE,ARACAJU,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PT,sim,nao,nao,0.247291752630554,522000
AP,MACAPA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.695154691894656,522000
MT,CACERES,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.163637026717782,520711.51
SE,ARACAJU,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PT,sim,nao,nao,0.246344274651127,520000
RN,NATAL,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PSD,sim,nao,nao,0.15106727577767,520000
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,Mendes Ribeiro Filho,PMDB,PSB,sim,nao,nao,0.146466900459626,519520
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.0484047892575728,519517.47
PI,TERESINA,MINISTERIO DAS CIDADES,2012,Aguinaldo Ribeiro,PP,PSB,sim,nao,nao,0.164218289468189,519052.63
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PMDB,sim,sim,nao,0.401532137663297,518800
RJ,CAMPOS DOS GOYTACAZES,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.0316784678083122,518550.51
MA,SAO LUIS,PRESIDENCIA DA REPÚBLICA,2013,Gilberto Carvalho,PT,PMDB,sim,nao,nao,0.0762475845565276,518049.04
BA,ILHEUS,MINISTERIO DA EDUCACAO,2015,Renato Janine Ribeiro,PT,PT,sim,sim,nao,0.0340442282898623,517606.2
BA,SALVADOR,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0339046959819741,515484.76
MS,DOURADOS,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PMDB,sim,nao,nao,0.196717860391647,515333.32
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.0123644378137227,514198.54
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.134630238067966,513637.38
CE,FORTALEZA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.0596834419687184,513636
PE,RECIFE,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.0578693062891527,513000
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PT,sim,sim,nao,0.741609012460717,512549.72
BA,SALVADOR,MINISTERIO DAS CIDADES,2013,Aguinaldo Ribeiro,PP,PT,sim,nao,nao,0.0340501392668785,512254.96
GO,GOIANIA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,Sérgio Machado Rezende,PSB,PP,sim,nao,nao,0.0875896236712566,511961
BA,SALVADOR,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PT,sim,sim,nao,0.0338188406194718,511556.33
SP,CAMPINAS,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSDB,nao,nao,sim,0.0115929709489459,510500
RO,PORTO VELHO,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PMDB,sim,nao,nao,0.288428258277891,510000
